web-scraper-order,web-scraper-start-url,links,links-href,title,salary,Description,Location,Applicant_Count,Skills,Company_name,Employmenttype,Pages
1739932214-1,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Gaming Artist, Senior|13269Gaming Artist, Senior|13269",https://www.linkedin.com/jobs/view/4146799943/?eBP=CwEAAAGVHAbqG9Xk6v9hZx7mjgGbnSgaS_WDGLFsm5uMTICuAFYG1H7cz_ywxtUU4mjvzWpuRmCr8J3DBSphYl8y-gZT9d_UDjK-3WaMTPQ-ghefStIGIO6nveibgF_9aRDomUsTOirPdgCkstk-1w0UW2N3bqzIHhcF5jwty20GHHvDyW0iBQtEuhzcluTAo0BsPH6KlYFH2rxK-WfNBXzLDWad4lXHVJTXftxtvUHHGAGC5PcjWL7VNxP1cN5ljGoooD8WzuQozm4Rj-HvlzGzRg8Ro43aQUb9gr9iXhVG72aWAfuYWHC8-5vL38tNfXulwJxVElDPIYp6hGkCcniPI4xwOhzz53eAmAtQV6yDsfa-WCOZnwM6V82BoiBHRKDzB1sMSlE41CGkk6uMMu-no9lBlmUQ5xOQYgYKHjmX98h06WWdfeCm-gZ9SityCJI2-QFmIoHVYUZadZlct4AXLgfMowL1AJoVXmTLTpx9Uu_Mo_B_AYG3BG_ubszA&refId=f3Lvw0nYtU3FjLLDBkiJWQ%3D%3D&trackingId=kpRHv9cfWfDX1hEmNh%2FS6A%3D%3D&trk=flagship3_search_srp_jobs,"Gaming Artist, Senior|13269",$80/hr,"ALTEN is hiring a Gaming Artist, Senior|13269 in San Diego, CA. Required skills: Skills: Adobe Creative Suite, ZBrush. This is a Full-time role. 9 applicants. Salary: $80/hr.","San Diego, CA",9 applicants,"Skills: Adobe Creative Suite, ZBrush",ALTEN,Full-time,
1739932400-2,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Gaming Artist, Staff|13270  Gaming Artist, Staff|13270Gaming Artist, Staff|13270  Gaming Artist, Staff|13270",https://www.linkedin.com/jobs/view/4147101719/?eBP=CwEAAAGVHAbqG6RiOT7VUQBKVV57OMWfhhKOSOnFXCF47gpdeAWZ1OAlJtlGEN3GmGB57NyR1nNbYzH3SQWZ5nDrTc46Xl9apuJKUtWExhmZt-mQDeZ1gRvzF5xyLaIIDL7e-8_ZPAwZot0lWz5rz8busGIPiP_hemn2OlBvn9a8on0utQmKSH_cBD8jfchLMaM9OKVapQ1uSIVx7oa-wu4vJ4QagzDEYUho-u-u9-IdVotr3c3u3VYDl0nsUdbPOgo27U9zLIagfQFKsWoEinVCkIwCRjuIxUzSjEYpasqZSkivMnQ0WWuOPDimz2_EVKMzzGVwHsFr1yaJuraKf09htAavhUBalv4u04WsngYHIGOF7Udzw-382GXkXDeF4zT7LphSc-EWqjLgWm1bq05DMa3RGqrTGYZAnIpggNJC2g9Ki_g8pPJdKnUs9FNgoZs_qApoUuJqJV0TVsj9zPGmBCEddbXEteORfrVs3CKbh-ZhIJLEqOIX0GnSPg&refId=f3Lvw0nYtU3FjLLDBkiJWQ%3D%3D&trackingId=%2BI34b7mjKmec52SbnMBDBQ%3D%3D&trk=flagship3_search_srp_jobs,"Gaming Artist, Staff|13270  Gaming Artist, Staff|13270",$45/hr,"ALTEN is hiring a Gaming Artist, Staff|13270  Gaming Artist, Staff|13270 in San Diego, CA. Required skills: Skills: Graphic Arts, Illustration. This is a Full-time role. 2 applicants. Salary: $45/hr.","San Diego, CA",2 applicants,"Skills: Graphic Arts, Illustration",ALTEN,Full-time,
1739932462-5,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Senior VFX Artist 
    
    

Senior VFX Artist with verification",https://www.linkedin.com/jobs/view/4115358456/?eBP=CwEAAAGVHAaTItv8GM8wkreTDB2aq5Nz383NSweDDV7SsLA0e97IOmLmNB-dtXsj4BZsvImnDRv9kpveC2EJe5hTf9WkKqJOhozAbaxPnLewZiWF0f1Hk88BLOmQTTGFGvP4YtJJwcvNmzwtnyIeTNC9qqvwCDTHiiZ-jIYo5DtSH91YX7F3bCHsB1L4JtJLL_uTuUN4UuY7UKDzp-B12QtqfFKtgqc8eVKsEQeKhbZhvL1GkyxJkBzvL8qKnjP6feSZMOxWvK9RbDm0eg_R9avE2zeddHPed0tmk4QOmAS0yakW9L_phqJ2nzTDbmqBkpWeCXVyoGBJnoGmAYXdMuLxnmTZEz0Yo86eaAxaply3nM08vgaXiQVcCPd4CSCIapGWZk7D65srtpXtwj0V4T00DiyI1aa2K5GIry2xyIgSpLH8Q0_Z_Cy9JM5N8-eWdd7dfcduBgUy21ImquQ8S3Aex2x2UzpEtsWhQ1sVzZ5TDvT3CInNySMVYblVIIZcGKtynjE3I22PcQY&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=Xm1ICgCSeVChnzH4OCcSQw%3D%3D&trk=flagship3_search_srp_jobs,Senior VFX Artist,$55/hr,"Electronic Arts (EA) is hiring a Senior VFX Artist in Kirkland, WA. Required skills: Skills: Photography, Lighting. This is a Full-time role. 54 people clicked apply. Salary: $55/hr.","Kirkland, WA",54 people clicked apply,"Skills: Photography, Lighting",Electronic Arts (EA),Full-time,
1739932483-6,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Lead VFX ArtistLead VFX Artist,https://www.linkedin.com/jobs/view/4132971154/?eBP=CwEAAAGVHAaTIsSDp6C7qsOukxdSBFNfjoLD5qFp0W02MtHRVqE8E26g_C3fFIaQsOgM30-jvRqShUz2HUerM9tD0tyeAk989KfoZn41Te6nDND4n4KMzUYzM0gQ-9KZhDmZHDEqoeQvrwSGyN3SmGN_q0IRp7Ghpt29Frs7ViViFxJ0i9m3iE3iCzLiyKEiIqRojbgxkOY3IexYKxFwQt_5y9829Cjj3iAZvwiMPL0qdhuiEY7qzzGHMjtfm3B9OOVVgpLBqMTUtmczDauCuxYZw7vNX3UpxdVBTolFkZuo1nfYuDXikHY2PN5YACstWb4IA1EKyKNP0P0hpCIGXp6YLkG-uI2a9jH8tKuLxHd_2HbU8IA4TPpZTNYDIQURfX8X4xSnbpt20-w2sEK7IRwYjbcI1Wi06ruB5v_834h6oCHFBN5AcFWFcTSKt2Y6jkJMy5DreTYW-RpdynRLgg2OPWG4TxPp_e4RQxtJEh_XkCJ9Vt--1Y2c8xkuExY_&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=mbiZXo2HZerKPyBR47JsoA%3D%3D&trk=flagship3_search_srp_jobs,Lead VFX Artist,$70/hr,"Absurd Ventures is hiring a Lead VFX Artist in Santa Monica, CA. Required skills: Skills: User Interface Design, Visual Communication. This is a On-site role. 25 people clicked apply. Salary: $70/hr.","Santa Monica, CA",25 people clicked apply,"Skills: User Interface Design, Visual Communication",Absurd Ventures,On-site,
1739932503-7,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Sr. VFX ArtistSr. VFX Artist,https://www.linkedin.com/jobs/view/4140962385/?eBP=CwEAAAGVHAaTIvGrrrOpOrxoa-MLh6-XX4iTlFcU7SHhNt-nvGFygC723SlDTuN_aRG0XkgtDz9dkqaou17ObKYn3PeZ7CKiu9IqtL_bQCKNq8dhyV9VQik2vQDInIiIj4CyVYZuj2Es9WW4vOwWcs020O4Ah_bkIoPnB8ZrPgNm4Xk_1krAuQZOr6918PXyvSD8_bAnMGw6nr0ZuWOzs0eZNvUrjQ-J5jSv6dN_kikVpeq0S43Fb8A_fR7E4dwmMBt9BZNqYqhbEjv3WET7q0S35yl8OX0wxTCsZcfTScXiWXhslVt2AJHqCO7EyBrLN7w4Xfb5JGRRp0ZbpyNbRjq_SXvN77RfhDLI1E6hKlr8Dj6UBWXFlqjceOVRwFgAuPEVN2Hb9guTFg7Q-tyX4a4FbeoBmir0SUXKatrMu61WIkhV9QOUK6mFrT3kaADhE_uOHL7ZogZwZewBi7qVrSNMFwGuG2o27kRBGHXoF9f0vTXLUHsDQq0cUoU8CWeoFfeuBQ&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=Nue68Qod%2F7aK5u0P%2FxhbfQ%3D%3D&trk=flagship3_search_srp_jobs,Sr. VFX Artist,$60/hr,"Blind Squirrel Games is hiring a Sr. VFX Artist in Irvine, CA. Required skills: Skills: Graphic Design, Branding. This is a Full-time role. 12 people clicked apply. Salary: $60/hr.","Irvine, CA",12 people clicked apply,"Skills: Graphic Design, Branding",Blind Squirrel Games,Full-time,
1739932523-8,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Digital Animation Teacher (Part Time)Digital Animation Teacher (Part Time),https://www.linkedin.com/jobs/view/4065924323/?eBP=CwEAAAGVHAaTIvVGSjJ0sw2aNvO1aJbeR6E0reVMlgY7RXF327_GLHZ1cz2sS5bA95ufY-Lh5Ch5VKZhHHRkHFsxHZ0MYtXKzlVgiwWoZH57kGWR62NwetHI2XoJnw7jX54aCeiwQoDeUIEXDP40AxvehNBWrz5UTBGrxyGmR9YFgV7ZeySFESwsT7W8w72ihtDddBjxDCCJi8mRKoUuby2uqalGXwqPteRZkDriJ5E_cx2MW91f3MMdXy143926_JsTbWgkjkEAmI1JbgU2oO8Tl6ld6gEFNzjlga5wV2jUDeDXtEFzSiU46Y0c9oc76tw3SSrIm2dwL8ziJTc5HGOs-4xaIY1PDhmHdL8aIo1bZOvFHyrtOHXArRgcqEJe8RUh5tLRPZBS8Vxbb3LyWWh1MdO2WcXgAI0GVFtn29EVXuBA7zJtjA7dtY50hpCooS16mWzRed7nEt2JrjlOSazeFPPIUXIeIO1Nxna8qmLtmttExJrnXdL9s3w5sbFVEMjK4Q&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=e3naPOqzM8e3TBlnt025yQ%3D%3D&trk=flagship3_search_srp_jobs,Digital Animation Teacher (Part Time),$80/hr,"Concorde Education is hiring a Digital Animation Teacher (Part Time) in New Rochelle, NY. Required skills: Skills: Creative Strategy, Storytelling. This is a Director role. 8 people clicked apply. Salary: $80/hr.","New Rochelle, NY",8 people clicked apply,"Skills: Creative Strategy, Storytelling",Concorde Education,Director,
1739932564-10,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Gaming Artist|13268  Gaming Artist|13268Gaming Artist|13268  Gaming Artist|13268,https://www.linkedin.com/jobs/view/4147106373/?eBP=CwEAAAGVHAaTIi7ysHeyqLcd7RhlQsi4imB2RLR9URpff6WPfclSulbS8ZdCRKlMAtWbMdJUOts9HjlmwqEYyDaDsgzptnARzxvAB09mPpw-k41mWC6TMxcwyTefqNADWP84jOGACYRe84ejugz2_J7PqlDHPE8nSbTsUH-bECfp4lQtX6h4LDp0JLtuQZU6WXgJqrLxX3wSh6DXds6F_tXMkn_0UxvW50IRKzUfGv4B4PaTmONc6u1FRsCmlhldsyQQCb77HBj_rbzEXisg0XUtVxW5exnUvtWpOwXrpNZSjjJsEUVX2qVBNNwiDuKPOSUeP820tj5EHAAb_OfPZM4damp3cGdRFLPcQAI0sSL-gZG46Zql3kryXWN9uBgWFLZCpGXZP40427CqPFPuLBbl8YxUFDAsWkz3PfUAiMzRIZb_Nb5P5b97nlbolGSfk9EKXRE4QYwC20_bbP0WagBoboz2ArcvbmNEngVZ-D400mw4FTg8xCEICYt0fzmH&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=ku%2BTUdolzdqspg%2Fn%2F3ye8g%3D%3D&trk=flagship3_search_srp_jobs,Gaming Artist|13268  Gaming Artist|13268,$70/hr,"ALTEN is hiring a Gaming Artist|13268  Gaming Artist|13268 in San Diego, CA. Required skills: Skills: Video Editing, Post Production. This is a On-site role. 6 applicants. Salary: $70/hr.","San Diego, CA",6 applicants,"Skills: Video Editing, Post Production",ALTEN,On-site,
1739932584-11,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Gaming Artist, Senior|13269  Gaming Artist, Senior|13269Gaming Artist, Senior|13269  Gaming Artist, Senior|13269",https://www.linkedin.com/jobs/view/4147104348/?eBP=CwEAAAGVHAaTIruUePlflSROCZ9EdBb7GYnaU2UlsOAlAJw2HKa0DslAY3of-nJZaTdlEsv_RvvzeHGpDoRW44g168-0Ou4dgEHCkN_oT17zZOUFqVz6iHY4bYfSYTViGj6sascT13Jx1UUIkkBn3TkvGlC6H7ZHe5FX1Tfs7RH29hDZ7NNP4dg9-RGUjUUmCGGc0VTW_sHudhNTKcqjTTZTYyTg0UIJ9FENcUTfdP0UmksI39pOSyZFi26sXGyTe1m1vh8HtazxKaioO7Ciy7c3d9ZTne0Nokv4HdXM6n6BxHGzrPgKQWahkFxsMWCwV4B9hAzTW35no9b4ej_qhKaUvXG1x_sjefBpS8tPI7opwjOTj05nIAWCp5X-7byGEBAC9Q-x8N_qY6SbWEJwmtE4V7an-Jtlt5xu-Ybdp2uUAoka37iZCVqfUyqNqmBX6vkmVGk8-ggPLK6q1n3_AFBk_eh-xIWBLSSZNH35bTPspR8TxK8_FYxXMF5MgepVkQQ&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=xgIVKUnLju6xbKqzHWro%2FQ%3D%3D&trk=flagship3_search_srp_jobs,"Gaming Artist, Senior|13269  Gaming Artist, Senior|13269",$80/hr,"ALTEN is hiring a Gaming Artist, Senior|13269  Gaming Artist, Senior|13269 in San Diego, CA. Required skills: Skills: Fine Art, Painting. This is a On-site role. 1 applicant. Salary: $80/hr.","San Diego, CA",1 applicant,"Skills: Fine Art, Painting",ALTEN,On-site,
1739932604-12,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,Gaming Artist|13268Gaming Artist|13268,https://www.linkedin.com/jobs/view/4147103393/?eBP=CwEAAAGVHAaTIt5qjT6pfyHad6Gi3QNWazpeeJpsNm4z6wn9eWcYNOeS0QqTU9jNS5c2BD6TgM6ca9BJUgGLa_VVDaan1iLgfriuURMbVs3XEpE3uecOJ4eN6o59oIEfBlH1pR_L_JIXAaF_X-fi0oVdUmc3zlcMsl86GzjtHHcr5B2TIhFQ31fcerB8kYhyWYZno46c-23uHcuPEQWWOhaNH3GLuMwl2P5R1eOp2fMGSGNEMI87oeIGzUdsgUm043CdJBaimML5qo4VrjFrP9vl_l9QzLOpzXo3wzr4HcKhdlg0RTalgvP9zdvDXNFY_OKINZ1vgfVe2ZDTn2x6LOLEPcGDzADOWNUkrRMNvLfF0TLy626dRQPjCeTdeJqUNC1a3MKQp6ChQUFawf_lTshaiYX5LN85gtOqKAcc4WLorN-2K79m0Q30xF1Agone1RTAyDngiQ13j2tP2u44g2UZf9Blww8NJajn6BKszWxKMIPBa0oZ_edX2_gjzLG-&refId=%2BHFuJAyx1VOLUS33DnNBAw%3D%3D&trackingId=y2B6SgDRyt5q6el91zTE6A%3D%3D&trk=flagship3_search_srp_jobs,Gaming Artist|13268,$40/hr,"ALTEN is hiring a Gaming Artist|13268 in San Diego, CA. Required skills: Skills: 3D Animation, Motion Graphics. This is a On-site role. 6 applicants. Salary: $40/hr.","San Diego, CA",6 applicants,"Skills: 3D Animation, Motion Graphics",ALTEN,On-site,
1739932667-15,https://www.linkedin.com/jobs/search/?currentJobId=4157083876&distance=25&geoId=103644278&keywords=2D%20Animator&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true,"Senior Motion Graphics Artist, Blizzard Video - Temp (SFD / Cinematics) 
    
    

Senior Motion Graphics Artist, Blizzard Video - Temp (SFD / Cinematics) with verification",https://www.linkedin.com/jobs/view/4093455577/?eBP=CwEAAAGVHAZDcq76OQ9wBI1M351YADmoRAB1twS9kj015omcfRFhqqTK_Uv7Hkq6VDMY8sds2lcGBPSqTEaHfL8_JGytqmYRUc_uSRfvw8sj8RkocO3UI8vg6RXg6KWRqopiJ2moiQh8Kj98TOGQkfNhsAbGoL53-VxFkXsick6uDf1X-1BvDHj9v_Qxu3Xxpae_oYSE2icxPnxMfEMtljyBB4afGNOnfZFjjyu-h2TAfDAEOoXAQrq1CVEavFuwUSgWozjeq695VyFU2gQ0EhYUa643CXj29ZcUopldDb0BkrxryFrIsxo1jiCYE8kKYyXo7kuWfrP_kMSNTe_HFmCqDJGVl1TfTkCJK9bF8fAKAmk-wtR2AFEmeKFo6WmAoUQ_vEZv_6t69H2-32JOTronDN2Pmys0zYBvTjeI4RluFlLd2CrSJAJMXLGm98sAgShslzIkgJbi5jgLclM2A5j3VALya4KpmGqJuTJ0cWbsu_kldDxXteCyQsDVu4eNsBneh5xLBUaN&refId=ygTG5kMyzCW9rCyaVgSB%2BQ%3D%3D&trackingId=Slr3MjffIYqxJ%2FFR%2BKofjQ%3D%3D&trk=flagship3_search_srp_jobs,"Senior Motion Graphics Artist, Blizzard Video - Temp (SFD / Cinematics)",$60/hr,"Blizzard Entertainment is hiring a Senior Motion Graphics Artist, Blizzard Video - Temp (SFD / Cinematics) in Irvine, CA. Required skills: Skills: Animation, Storyboarding. This is a On-site role. Over 100 people clicked apply. Salary: $60/hr.","Irvine, CA",Over 100 people clicked apply,"Skills: Animation, Storyboarding",Blizzard Entertainment,On-site,
